participant_id,race_2,race_4,race_5,race_7,race_8,race_1,race_10,race_10_text,sexual_orientation_1,sexual_orientation_2,sexual_orientation_3,sexual_orientation_4,sexual_orientation_5,sexual_orientation_6,sexual_orientation_7,sexual_orientation_8,sexual_orientation_8_text,gender_identity_1,gender_identity_2,gender_identity_3,gender_identity_4,gender_identity_5,gender_identity_6,gender_identity_7,gender_identity_8,gender_identity_9,gender_identity_10,gender_identity_10_text,saab,out_hs,out_hs_3_text,certain_hs,certain_hs_5_text,demographics_hs_1,demographics_hs_2,demographics_hs_3,demographics_hs_4,demographics_hs_8,demographics_hs_8_text,demographics_state_54,demographics_state_4,demographics_state_5,demographics_state_6,demographics_state_7,demographics_state_8,demographics_state_9,demographics_state_10,demographics_state_53,demographics_state_11,demographics_state_12,demographics_state_13,demographics_state_14,demographics_state_15,demographics_state_16,demographics_state_17,demographics_state_18,demographics_state_19,demographics_state_20,demographics_state_21,demographics_state_22,demographics_state_23,demographics_state_24,demographics_state_25,demographics_state_26,demographics_state_27,demographics_state_28,demographics_state_29,demographics_state_30,demographics_state_31,demographics_state_32,demographics_state_33,demographics_state_34,demographics_state_35,demographics_state_36,demographics_state_37,demographics_state_38,demographics_state_39,demographics_state_40,demographics_state_41,demographics_state_42,demographics_state_43,demographics_state_44,demographics_state_45,demographics_state_46,demographics_state_47,demographics_state_48,demographics_state_49,demographics_state_50,demographics_state_51,demographics_state_52,demograpics_grad_yr,commitment_check,class_content_1,class_content_2,class_content_3,class_content_4,class_content_5,class_content_rep_1,class_content_rep_2,class_content_rep_3,class_content_rep_4,class_content_rep_5,gender_in_health_ed_1,gender_in_health_ed_2,gender_in_health_ed_3,gender_in_health_ed_4,gender_in_health_ed_5,gender_in_health_ed_6,gender_in_health_ed_7,gender_in_health_ed_8,gender_in_health_ed_9,gender_in_health_ed_10,lgbtq_support_1,lgbtq_support_2,policies_disc_1,policies_disc_2,policies_disc_3,policies_disc_4,policies_disc_5,policies_disc_6,policies_disc_7,policies_disc_8,policies_inc_1,policies_inc_2,policies_inc_3,policies_inc_4,policies_inc_5,policies_inc_6,bathrooms_available,bathrooms_accessible,attention_check_2,policies_practice_1,policies_practice_2,policies_practice_3,victimization_mis_1,victimization_mis_2,victimization_mis_3,victimization_mis_4,verbal_vic_1,verbal_vic_2,verbal_vic_3,victimization_out_1,victimization_out_2,victimization_ind_1,victimization_ind_2,victimization_ind_3,lgbtq_faculty_1,lgbtq_faculty_2,lgbtq_faculty_att,lgbtq_community_1,lgbtq_community_2,lgbtq_community_3,lgbtq_community_4,lgbtq_community_5,lgbtq_community_6,lgbtq_community_7,absenteeism,accepted,safe,unsafe,missed_classes,discrimination_1,discrimination_2,discrimination_3,depression_1,depression_2,depression_3,depression_4,depression_5,depression_6,depression_7,depression_8,anxiety_1,anxiety_2,anxiety_3,anxiety_4,anxiety_5,anxiety_6,anxiety_7,anxiety_8,teacher_inclus_1,teacher_inclus_2,teacher_inclus_3,teacher_inclus_4,teacher_inclus_5,teacher_inclus_6,teacher_inclus_7,teacher_inclus_8,submission_id,status,started_at,completed_at,reviewed_at,archived_at,time_taken,completion_code,total_approvals,cisgender_and_transgender,gender,gender_identity_non_binary_only,age,sex,ethnicity_simplified,country_of_birth,country_of_residence,nationality,language,student_status,employment_status,custom_study_tncs_accepted_at
6070cdd492467b76ce67abab,0,0,1,0,0,0,0,-99,0,1,0,0,0,0,0,0,-99,0,0,1,0,1,0,0,0,0,0,-99,2,NA,NA,NA,NA,1,0,0,0,0,-99,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2018,2,3,2,4,3,3,1,2,2,5,5,7,7,2,2,1,6,4,1,2,5,1,2,4,4,2,3,3,4,2,2,4,4,4,4,4,4,3,NA,4,6,6,6,3,3,3,3,6,1,2,3,3,4,4,4,3,3,1,4,1,2,2,2,2,2,3,3,4,1,1,5,2,4,3,2,2,1,2,2,2,1,1,3,3,3,3,3,3,3,5,5,6,4,5,5,5,7,65adef6372408487c00e269d,APPROVED,2024-01-22T04:30:31.008000Z,2024-01-22T04:38:17.217000Z,2024-01-23T01:20:11.176000Z,2024-01-22T04:38:17.644715Z,467,NOCODE,829,Yes,Man (including Trans Male/Trans Man),NA,23,Prefer not to say,Asian,Cambodia,United States,United States,English,Yes,Unemployed (and job seeking),
5ec6e199e4faec118f5ff2d0,0,0,0,0,0,1,0,-99,0,1,0,0,1,0,0,0,-99,0,0,1,0,1,1,0,0,0,0,-99,2,NA,NA,NA,NA,1,0,0,0,0,-99,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,2,5,4,1,3,3,2,2,1,4,1,7,7,2,3,1,6,4,1,2,4,1,5,1,3,3,4,1,4,1,1,4,1,3,3,3,3,1,1,4,1,2,4,3,2,3,2,7,1,2,1,1,2,1,4,4,2,1,1,1,1,1,1,5,2,2,3,4,1,1,2,2,4,4,4,2,3,4,4,4,1,4,5,5,4,4,5,5,4,2,2,5,4,3,5,3,5,65adf013479fdc244d16a3ca,RETURNED,2024-01-22T04:33:23.495000Z,2024-01-22T04:40:24.019000Z,,2024-01-24T20:21:10.653239Z,NA,NOCODE,39,CONSENT_REVOKED,CONSENT_REVOKED,NA,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
603d310a73fb7901e827e24f,0,0,0,0,0,1,0,-99,0,1,0,1,0,0,0,0,-99,0,0,1,0,0,0,0,0,1,0,-99,2,NA,NA,NA,NA,1,0,0,0,0,-99,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,2,5,5,2,4,4,2,2,2,2,2,7,7,6,3,1,6,6,1,3,4,2,4,1,5,5,4,5,3,2,5,3,1,1,1,1,3,2,NA,4,4,4,4,3,3,4,4,6,2,4,4,4,2,2,2,3,3,1,3,5,4,4,4,4,4,1,4,4,1,1,5,2,4,3,3,3,1,2,3,3,2,2,4,4,4,4,4,4,4,3,3,5,3,2,7,4,7,65adf0ffde17d72bca5ef03c,APPROVED,2024-01-22T04:37:25.379000Z,2024-01-22T04:46:30.379000Z,2024-01-23T01:20:11.594000Z,2024-01-22T04:46:30.800799Z,545,NOCODE,510,Yes,Man (including Trans Male/Trans Man),NA,25,Female,White,United States,United States,United States,English,No,Full-Time,
6547bf8012d4702680d55663,0,0,0,0,0,1,0,-99,0,0,1,0,0,0,0,0,-99,0,0,0,1,0,0,0,0,0,0,-99,1,NA,NA,NA,NA,1,0,0,0,0,-99,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,2,5,4,1,4,4,2,2,1,2,1,6,7,4,3,1,6,4,2,3,2,1,4,3,4,2,4,1,3,1,3,1,1,1,1,1,1,2,NA,4,1,4,4,2,2,2,3,6,2,4,3,4,4,3,4,4,3,1,5,5,2,4,4,5,4,3,4,4,1,2,5,4,2,3,2,2,3,4,2,2,1,2,3,2,4,2,3,3,3,5,4,5,5,5,6,4,6,65adf02e31d5ab50f785b026,APPROVED,2024-01-22T04:35:24.964000Z,2024-01-22T04:51:41.903000Z,2024-01-23T01:20:11.451000Z,2024-01-22T04:51:42.316436Z,977,NOCODE,478,Yes,Woman (including Trans Female/Trans Woman),NA,22,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",
5e87a13114e2970ed66ee8ca,1,0,0,0,0,1,0,-99,0,0,0,0,1,0,0,0,-99,0,0,1,0,0,1,0,0,0,0,-99,2,NA,NA,NA,NA,1,1,0,0,1,Therapeutic boarding school,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,2,5,6,4,7,6,1,1,1,3,4,6,6,2,2,2,5,2,1,2,4,2,5,3,5,4,3,1,4,3,3,3,3,3,3,3,3,1,3,4,2,2,4,4,4,3,3,7,2,7,3,4,6,3,5,5,3,1,4,3,5,2,4,2,4,4,3,2,3,3,1,6,3,4,4,3,4,4,4,4,2,4,5,5,5,5,3,5,5,3,1,5,1,2,4,4,4,65adf25231d5ab50f785b060,APPROVED,2024-01-22T04:43:03.926000Z,2024-01-22T04:52:47.175000Z,2024-01-23T01:26:36.251000Z,2024-01-22T04:52:47.615739Z,584,NOCODE,276,NA,Non-binary (would like to give more detail),"Non-binary, Man (including Trans Male/Trans Man), Gender queer",21,Female,Mixed,United States,United States,United States,English,Yes,Other,
5e7e94f6279cb0000a027185,1,0,0,0,0,1,0,-99,0,1,0,0,0,0,0,0,-99,0,0,0,0,1,0,0,0,0,0,-99,2,NA,NA,NA,NA,1,0,0,0,0,-99,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,2,1,1,1,1,1,1,1,1,1,1,7,7,1,1,1,6,1,1,1,4,1,5,1,1,1,4,1,5,1,1,5,4,4,5,5,5,1,1,4,7,7,6,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,4,1,1,5,1,6,3,3,3,2,3,3,3,2,1,3,3,3,3,3,4,2,6,1,7,7,6,7,2,7,65adf39f7386573b4cb3eda8,APPROVED,2024-01-22T04:48:34.894000Z,2024-01-22T04:57:15.966000Z,2024-01-22T07:28:01.190000Z,2024-01-22T04:57:16.457754Z,522,NOCODE,936,Yes,Man (including Trans Male/Trans Man),NA,24,Male,Mixed,United States,United States,United States,English,No,Part-Time,
5fe40aa4dfcbb916af9c599a,0,0,0,0,0,1,0,-99,1,0,0,1,0,0,0,0,-99,0,0,1,0,0,0,0,0,1,0,-99,2,NA,NA,NA,NA,1,0,0,0,0,-99,NA,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2014,2,5,6,6,3,4,1,1,1,5,1,5,7,2,1,1,7,2,5,1,4,1,2,4,5,4,4,1,1,1,1,3,1,1,1,3,3,2,NA,4,6,4,2,4,4,5,5,6,2,2,3,3,2,1,2,3,3,1,5,6,6,2,5,4,4,2,4,4,1,1,5,2,4,4,3,4,2,4,3,4,3,2,5,4,5,5,5,5,5,5,4,6,5,5,4,2,4,65adf3b5b4da5762a890a7d9,APPROVED,2024-01-22T04:48:53.860000Z,2024-01-22T05:00:43.933000Z,2024-01-23T01:24:40.949000Z,2024-01-22T05:00:44.299527Z,711,NOCODE,685,NA,Non-binary (would like to give more detail),"Non-binary, Agender, Genderless",26,Female,White,United States,United States,United States,English,No,Part-Time,
5f2280c4a4474574b3704136,0,0,0,0,0,1,0,-99,1,0,0,0,1,0,0,1,butch4femme lesbian,0,0,1,0,0,1,0,1,1,1,woman,2,NA,NA,NA,NA,1,0,0,0,0,-99,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2020,2,7,6,4,7,7,2,1,2,5,1,7,7,5,5,1,7,7,1,5,2,1,7,4,5,5,4,5,5,5,5,1,1,1,2,2,1,2,NA,4,1,4,2,4,4,4,4,7,7,7,5,3,6,5,7,4,5,1,2,3,3,1,6,7,4,5,3,3,3,5,1,6,2,4,4,4,4,4,4,4,3,4,3,4,5,5,5,5,5,5,1,7,3,3,7,6,5,65adf2747fc93dcb2b296fc5,APPROVED,2024-01-22T04:43:32.153000Z,2024-01-22T04:58:22.584000Z,2024-01-23T01:24:40.654000Z,2024-01-22T04:58:23.097112Z,891,NOCODE,1311,NA,Non-binary (would like to give more detail),"Woman (including Trans Female/Trans Woman), Bigender, Non-binary, Demiwoman, Gender fluid, Gender queer",21,Female,White,United States,United States,United States,English,Yes,Other,
5ec8e2397ff48e3c154fb173,0,0,0,0,0,1,0,-99,0,0,0,0,0,1,1,0,-99,0,0,0,1,0,0,0,0,0,0,-99,1,NA,NA,NA,NA,0,1,1,0,0,-99,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,2,6,4,4,4,4,1,1,1,1,1,7,7,7,5,1,7,6,1,6,2,1,3,4,5,1,4,1,1,1,1,1,1,1,1,3,1,2,NA,4,1,2,4,1,1,1,1,7,4,6,5,4,4,4,4,4,5,1,4,4,4,4,4,4,4,3,2,3,1,1,1,4,1,1,1,1,1,3,3,2,1,2,2,2,3,3,3,3,3,2,1,5,1,1,6,2,6,65adf35d4c8491a1bb90997f,APPROVED,2024-01-22T04:47:28.095000Z,2024-01-22T05:04:34.751000Z,2024-01-23T01:20:11.893000Z,2024-01-22T05:04:35.195851Z,1027,NOCODE,596,Yes,Woman (including Trans Female/Trans Woman),NA,25,Female,White,United States,United States,United States,English,Yes,Other,
65ad576124789c0daa6f09b5,0,0,1,0,0,1,0,-99,0,1,0,0,1,0,0,0,-99,0,0,0,0,0,1,0,0,0,0,-99,2,NA,NA,NA,NA,1,0,0,0,0,-99,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,2,1,2,7,3,2,6,6,4,6,3,6,7,1,1,5,3,1,2,1,7,2,2,1,4,1,4,4,2,1,3,3,3,3,3,5,3,1,1,4,7,7,6,2,2,3,3,2,1,2,1,1,1,1,1,1,1,1,2,2,2,2,3,1,1,3,5,4,1,1,6,2,6,2,2,4,3,4,2,2,2,3,4,4,4,4,5,5,4,7,5,7,7,6,7,6,7,65adf40a6f13be31e82d77ab,APPROVED,2024-01-22T04:50:26.257000Z,2024-01-22T04:59:02.587000Z,2024-01-23T01:24:41.129000Z,2024-01-22T04:59:03.023360Z,517,NOCODE,12,NA,Non-binary (would like to give more detail),"Non-binary, Gender fluid, Gender queer",22,Female,Mixed,United States,United States,United States,English,Yes,Unemployed (and job seeking),
5d4a14cc5407dc0001b30979,0,0,0,0,0,1,0,-99,0,1,1,0,0,0,0,0,-99,0,0,0,0,1,0,0,0,0,0,-99,2,NA,NA,NA,NA,1,0,0,0,0,-99,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,2,2,4,1,4,4,1,1,1,1,3,7,7,5,4,1,7,4,2,4,4,2,5,1,4,1,4,1,1,1,1,2,1,2,1,2,2,3,NA,4,2,6,7,4,5,5,5,6,2,2,2,5,4,1,7,1,1,1,1,1,1,1,1,1,1,3,3,4,1,1,5,6,6,4,4,4,4,4,4,4,2,1,5,5,4,4,5,5,5,5,1,6,5,3,7,5,5,65adf39ad0f3d856a17b75f9,APPROVED,2024-01-22T04:48:31.679000Z,2024-01-22T04:59:06.084000Z,2024-01-22T07:28:00.926000Z,2024-01-22T04:59:06.548268Z,635,NOCODE,182,Yes,Man (including Trans Male/Trans Man),NA,23,Female,White,United States,United States,United States,English,Yes,Part-Time,
