"gender_in_health_ed_1","gender_in_health_ed_2","gender_in_health_ed_3","gender_in_health_ed_4","gender_in_health_ed_5","gender_in_health_ed_6","gender_in_health_ed_7","gender_in_health_ed_8","gender_in_health_ed_9","gender_in_health_ed_10","gender_in_health_ed_5r","gender_in_health_ed_8r","gender_in_health_ed_10r","shed_exc","shed_vic","shed_mis","shed_dis"
7,7,2,2,1,6,4,1,2,5,7,7,3,7,2,5,3
7,7,2,3,1,6,4,1,2,4,7,7,4,7,2.33333333333333,5,4
7,7,6,3,1,6,6,1,3,4,7,7,4,7,4,6,4
6,7,4,3,1,6,4,2,3,2,7,6,6,6.5,3.33333333333333,5,6
6,6,2,2,2,5,2,1,2,4,6,7,4,6.25,2,3.5,4
7,7,1,1,1,6,1,1,1,4,7,7,4,7,1,3.5,4
5,7,2,1,1,7,2,5,1,4,7,3,4,5.5,1.33333333333333,4.5,4
7,7,5,5,1,7,7,1,5,2,7,7,6,7,5,7,6
7,7,7,5,1,7,6,1,6,2,7,7,6,7,6,6.5,6
6,7,1,1,5,3,1,2,1,7,3,6,1,5.5,1,2,1
7,7,5,4,1,7,4,2,4,4,7,6,4,6.75,4.33333333333333,5.5,4
7,7,3,5,1,7,6,1,1,6,7,7,2,7,3,6.5,2
7,7,7,7,1,7,7,1,7,1,7,7,7,7,7,7,7
6,6,4,2,2,4,4,4,4,4,6,4,4,5.5,3.33333333333333,4,4
3,3,2,1,5,3,2,1,2,6,3,7,2,4,1.66666666666667,2.5,2
5,7,3,2,1,4,3,1,2,3,7,7,5,6.5,2.33333333333333,3.5,5
7,7,2,1,1,7,4,1,2,4,7,7,4,7,1.66666666666667,5.5,4
7,7,2,2,1,5,5,1,3,6,7,7,2,7,2.33333333333333,5,2
7,7,6,6,1,7,7,1,6,4,7,7,4,7,6,7,4
7,7,2,1,1,5,3,2,1,4,7,6,4,6.75,1.33333333333333,4,4
3,7,1,2,1,7,7,2,3,2,7,6,6,5.75,2,7,6
7,7,4,5,1,7,7,1,6,3,7,7,5,7,5,7,5
7,7,2,2,1,2,4,2,2,2,7,6,6,6.75,2,3,6
7,7,7,7,1,7,4,1,5,4,7,7,4,7,6.33333333333333,5.5,4
5,6,3,2,2,7,2,1,4,5,6,7,3,6,3,4.5,3
7,7,3,5,1,7,3,1,3,5,7,7,3,7,3.66666666666667,5,3
7,7,4,2,1,7,4,1,1,4,7,7,4,7,2.33333333333333,5.5,4
5,7,4,3,1,5,4,1,5,3,7,7,5,6.5,4,4.5,5
6,6,4,4,1,7,7,1,7,2,7,7,6,6.5,5,7,6
7,7,2,5,1,7,4,1,4,2,7,7,6,7,3.66666666666667,5.5,6
6,7,4,1,1,7,6,1,4,4,7,7,4,6.75,3,6.5,4
7,7,7,7,1,7,7,1,7,1,7,7,7,7,7,7,7
7,7,2,3,1,2,4,1,5,2,7,7,6,7,3.33333333333333,3,6
7,7,1,1,1,5,2,2,2,3,7,6,5,6.75,1.33333333333333,3.5,5
6,6,1,1,1,5,1,1,1,4,7,7,4,6.5,1,3,4
7,7,1,1,1,5,1,1,4,4,7,7,4,7,2,3,4
5,4,4,4,3,6,6,2,6,4,5,6,4,5,4.66666666666667,6,4
6,7,2,2,2,6,4,1,4,4,6,7,4,6.5,2.66666666666667,5,4
7,7,6,6,1,1,1,2,6,2,7,6,6,6.75,6,1,6
